RENTAL_ZONE_HAL_ID;"RENTAL_ZONE_HAL_SRC";"NAME";"TYPE";"CITY";"COUNTRY";"POI_AIRPORT_X";POI_LONG_DISTANCE_TRAINS_X;POI_SUBURBAN_TRAINS_X;POI_UNDERGROUND_X;"CLASSIFICATION";"RENTAL_ZONE_GROUP";"CODE";"COMPANY";"COMPANY_GROUP";"FRANCHISE";ACTIVE_X;"RENTAL_ZONE_GROUP_X";"RENTAL_ZONE_X_COORDINATE";"RENTAL_ZONE_Y_COORDINATE"
354;"Standort";"Münchner Freiheit";"normal";"München";"DE";"0";0;0;0;"Call a Bike";"Münchner Freiheit";"88001308";"";"Call a Bike";"";1;"J";"11,586111110000000";"48,161944440000000"
388;"Standort";"";"normal";"München";"DE";"0";0;0;0;"Call a Bike";"Ostbahnhof";"88001662";"";"Call a Bike";"";1;"J";"11,604444440000000";"48,128611110000000"
499;"Standort";"";"normal";"München";"DE";"0";0;0;0;"Call a Bike";"DB_MobilityCenter";"88002897";"";"Call a Bike";"";1;"J";;
1532;"Standort";"";"normal";"München";"DE";"0";0;0;0;"Call a Bike";"Stiglmaierplatz";"88006552";"";"Call a Bike";"";1;"J";"11,558888890000000";"48,146944440000000"
1559;"Standort";"";"normal";"München";"DE";"0";0;0;0;"Call a Bike";"DB_MobilityCenter";"88006834";"";"Call a Bike";"";1;"J";"11,575277780000000";"48,160277780000000"
1589;"Standort";"";"normal";"München";"DE";"0";0;0;0;"Call a Bike";"LMU Projektstandort 5";"88007143";"";"Call a Bike";"";1;"J";"11,595277780000000";"48,150555560000000"
1610;"Standort";"";"normal";"München";"DE";"0";0;0;0;"Call a Bike";"Kurfürstenplatz";"88007319";"";"Call a Bike";"";1;"J";"11,575277780000000";"48,159722220000000"
1735;"Standort";"";"normal";"Köln";"DE";"0";0;0;0;"Call a Bike";"Zülpicher Platz/Friedrichstr.";"40027904";"";"Call a Bike";"";1;"J";"6,939332934200000";"50,930237905400000"
1784;"Standort";"";"normal";"Köln";"DE";"0";0;0;0;"Call a Bike";"Mediapark";"40028331";"";"Call a Bike";"";1;"J";"6,942899402100000";"50,946266014500000"
1797;"Standort";"";"normal";"Köln";"DE";"0";0;0;0;"Call a Bike";"The Coffee Store";"40028454";"";"Call a Bike";"";1;"J";"6,952250420600000";"50,939732973000000"
1922;"Standort";"";"normal";"Köln";"DE";"0";0;0;0;"Call a Bike";"Chlodwigplatz";"40029458";"";"Call a Bike";"";1;"J";"6,959477162300000";"50,921020722100000"
1955;"Standort";"";"normal";"Köln";"DE";"0";0;0;0;"Call a Bike";"WDR";"40018687";"";"Call a Bike";"";1;"J";"6,956113486400000";"50,940594393900000"
2089;"Standort";"";"normal";"Köln";"DE";"0";0;0;0;"Call a Bike";"Zülpicher Platz/Friedrichstr.";"40019580";"";"Call a Bike";"";1;"J";"6,940756614800000";"50,931067207000000"
2216;"Standort";"";"normal";"Köln";"DE";"0";0;0;0;"Call a Bike";"Hansaring/Krefelder Str.";"40020512";"";"Call a Bike";"";1;"J";"6,951829878600000";"50,948777870300000"
2414;"Standort";"";"normal";"Köln";"DE";"0";0;0;0;"Call a Bike";"Eigelstein/Ebertplatz";"40022212";"";"Call a Bike";"";1;"J";"6,956884699500000";"50,949074010600000"
2415;"Standort";"";"normal";"Köln";"DE";"0";0;0;0;"Call a Bike";"Eigelstein/Ebertplatz";"40022213";"";"Call a Bike";"";1;"J";"6,956884699500000";"50,949074010600000"
3531;"Standort";"";"normal";"München";"DE";"0";0;0;0;"Call a Bike";"Stachus";"88005015";"";"Call a Bike";"";1;"J";"11,565555560000000";"48,138888890000000"
3710;"Standort";"";"normal";"Frankfurt am Main";"DE";"0";0;0;0;"Call a Bike";"Hausener Weg / Ludwig-Landmann-Straße";"6048900001";"";"Call a Bike";"";1;"J";"8,619363000000000";"50,131464000000000"
3717;"Standort";"";"normal";"Frankfurt am Main";"DE";"0";0;0;0;"Call a Bike";"Praunheimer Landstraße / Im Vogelsgesang";"6048800001";"";"Call a Bike";"";1;"J";"8,624699000000000";"50,138729000000000"
3916;"Standort";"";"normal";"Frankfurt am Main";"DE";"0";0;0;0;"Call a Bike";"Lokalbahnhof";"6059400011";"";"Call a Bike";"";1;"J";"8,690737000000000";"50,101568000000000"
3954;"Standort";"";"normal";"Frankfurt am Main";"DE";"0";0;0;0;"Call a Bike";"Kleinmarkthalle";"6031100001";"";"Call a Bike";"";1;"J";"8,682078425400000";"50,112254674500000"
